"SITENAME","DATE","TIME","SALINITY","TN","TP","TOC","NH4","N.N","NO2","SRP","DOC","NO3","Dataset.ID","Date.EST","Station.ID","ALIAS","Region","SRPFlag","TPFlag","TPReversal","TNReversal","OCReversal"
"SRS1a","2005-01-04","08:15",0,47.763,0.22,1613.333,7.63,4.77,0.64,0.07,NA,4.13,"LT_ND_Grahl_002",2005-01-04,"SRS1a","SRS1","SRS",0,0,0,0,NA
"SRS1a","2004-12-07","16:30",0,28.399,NA,1169.167,1.65,1.06,0.15,NA,1364.167,0.91,"LT_ND_Grahl_002",2004-12-07,"SRS1a","SRS1","SRS",1,1,NA,0,0
"SRS1a","2002-09-25","15:45",0,57.526,NA,1406.667,1.41,0.72,0.13,0.01,1491.667,0.59,"LT_ND_Grahl_002",2002-09-25,"SRS1a","SRS1","SRS",0,1,NA,0,0
"SRS1a","2001-09-13","12:00",0,47.755,0.27,1397.5,8.1,2.58,0.2,0.02,1490,2.38,"LT_ND_Grahl_002",2001-09-13,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-10-22","12:00",0,47.638,0.11,1265.833,3,1.99,0.12,0.02,1286.667,1.86,"LT_ND_Grahl_002",2001-10-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-11-28","14:00",0,39.364,NA,1159.167,2.1,0.38,0.09,0,1161.667,0.29,"LT_ND_Grahl_002",2001-11-28,"SRS1a","SRS1","SRS",1,1,NA,0,0
"SRS1a","2001-12-19","11:00",0,40.234,0.09,1130.833,2.55,0.26,0.06,0,1130.833,0.2,"LT_ND_Grahl_002",2001-12-19,"SRS1a","SRS1","SRS",1,0,0,0,0
"SRS1a","2002-01-22","13:00",0,36.937,0.24,1145.833,6.69,1.52,0.11,0.1,1146.667,1.41,"LT_ND_Grahl_002",2002-01-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-02-28","09:00",0,24.419,0.57,1167.5,2.7,0.05,0.04,0.03,1227.5,0.01,"LT_ND_Grahl_002",2002-02-28,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-03-28","11:00",0,21.814,0.77,1263.333,5.47,0.23,0.09,0.08,1273.333,0.14,"LT_ND_Grahl_002",2002-03-28,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-04-09","09:30",0,43.938,0.43,1248.333,8.23,0.43,0.1,0.01,1266.667,0.33,"LT_ND_Grahl_002",2002-04-09,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-05-08","11:00",0,71.968,0.9,1317.5,5.31,0.12,0.08,0.05,1340.833,0.04,"LT_ND_Grahl_002",2002-05-08,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-06-25","10:00",0,36.942,0.2,1082.5,NA,6.75,0.49,0,1033.333,6.27,"LT_ND_Grahl_002",2002-06-25,"SRS1a","SRS1","SRS",1,0,0,NA,0
"SRS1a","2002-07-29","11:00",0,75.072,0.11,1755.417,1.39,2.98,0.12,0.06,1752.917,2.87,"LT_ND_Grahl_002",2002-07-29,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-08-22","08:45",0,34.863,0.06,1211.667,2.19,0.36,0.08,0.03,1020.833,0.28,"LT_ND_Grahl_002",2002-08-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-11-11","11:45",0,28.498,0.13,957.5,1.5,0.99,0.14,0.01,1110,0.84,"LT_ND_Grahl_002",2003-11-11,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-12-03","09:30",0,48.87,0.05,831.458,5.84,0.57,0.07,0.02,990.833,0.51,"LT_ND_Grahl_002",2003-12-03,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-01-26","13:20",0,26.231,0.23,905,2.23,0.1,0.1,0.01,990.417,NA,"LT_ND_Grahl_002",2004-01-26,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-02-10","11:20",0,29.124,0.34,894.167,4.48,1.31,0.28,0.04,909.583,1.04,"LT_ND_Grahl_002",2004-02-10,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-03-23","16:15",0,34.788,0.32,912.5,8.15,3.9,0.36,0.05,696.25,3.53,"LT_ND_Grahl_002",2004-03-23,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-04-19","11:30",0,NA,0.88,1060,1.47,3.99,0.26,0.01,NA,3.73,"LT_ND_Grahl_002",2004-04-19,"SRS1a","SRS1","SRS",0,0,0,NA,NA
"SRS1a","2004-05-05","15:45",0,NA,NA,1019.167,0.53,1.05,0.2,0.01,1120,0.85,"LT_ND_Grahl_002",2004-05-05,"SRS1a","SRS1","SRS",0,1,NA,NA,0
"SRS1a","2004-06-24","15:00",0,30.155,0.91,1135.833,0.45,1.28,0.13,0.03,1190,1.15,"LT_ND_Grahl_002",2004-06-24,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-07-15","10:45",0,36.421,0.45,983.333,0.79,NA,NA,0.03,NA,0.5,"LT_ND_Grahl_002",2004-07-15,"SRS1a","SRS1","SRS",0,0,0,NA,NA
"SRS1a","2004-08-19","12:30",0,53.384,0.42,1973.333,2.6,4.25,0.51,0.08,1903.333,3.75,"LT_ND_Grahl_002",2004-08-19,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-09-08","16:30",0,30.946,0.19,1395,3.69,6.01,0.25,0.04,1440,5.76,"LT_ND_Grahl_002",2004-09-08,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-10-14","12:00",0,32.049,0.11,1462.5,2.02,1.94,0.12,0.03,1562.5,1.83,"LT_ND_Grahl_002",2004-10-14,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2004-11-22","09:30",0,33.871,0.11,1310.833,1.82,0.42,0.17,0.01,1385.833,0.25,"LT_ND_Grahl_002",2004-11-22,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-06-12","13:00",0,37.775,0.66,1437.5,2.05,0.43,0.12,0.04,1305.833,0.31,"LT_ND_Grahl_002",2001-06-12,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2001-07-31","11:00",0,58.256,0.44,1377.5,6.4,3.59,0.39,0.01,1369.167,3.2,"LT_ND_Grahl_002",2001-07-31,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2002-10-23","12:00",0,35.774,NA,1634.167,2.41,0.39,0.13,NA,1625.833,0.26,"LT_ND_Grahl_002",2002-10-23,"SRS1a","SRS1","SRS",1,1,NA,0,0
"SRS1a","2002-11-20","13:15",0,58.464,0.12,1218.333,NA,1.53,0.15,0.05,1318.333,1.38,"LT_ND_Grahl_002",2002-11-20,"SRS1a","SRS1","SRS",0,0,0,NA,0
"SRS1a","2002-12-19","12:00",0,66.196,0.81,1427.5,4.8,3.76,0.29,0.03,1370,3.48,"LT_ND_Grahl_002",2002-12-19,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-01-21","09:10",0,58.915,0.63,1330.833,NA,2.1,0.2,0.13,1000.833,1.9,"LT_ND_Grahl_002",2003-01-21,"SRS1a","SRS1","SRS",0,0,0,NA,0
"SRS1a","2003-02-20","13:15",0,67.587,0.8,935,NA,1.13,0.21,NA,1125,0.92,"LT_ND_Grahl_002",2003-02-20,"SRS1a","SRS1","SRS",1,0,NA,NA,0
"SRS1a","2003-03-26","10:30",0,NA,0.4,1096.667,1.25,0.26,0.04,0.05,940.833,0.23,"LT_ND_Grahl_002",2003-03-26,"SRS1a","SRS1","SRS",0,0,0,NA,0
"SRS1a","2003-04-24","14:30",0,69.998,1.15,1060,0.54,0.13,0.04,0.02,1024.167,0.09,"LT_ND_Grahl_002",2003-04-24,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-05-27","11:00",0,NA,0.33,988.333,0.52,0.18,0.06,0.02,993.333,0.13,"LT_ND_Grahl_002",2003-05-27,"SRS1a","SRS1","SRS",0,0,0,NA,0
"SRS1a","2003-06-17","11:00",0,31.58,0.34,1098.333,0.56,0.34,0.13,0.01,1088.333,0.21,"LT_ND_Grahl_002",2003-06-17,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-07-23","14:00",0,69.278,0.2,1484.167,2.03,1.61,0.14,0.03,1516.667,1.47,"LT_ND_Grahl_002",2003-07-23,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-08-18","13:45",0,101.131,0.19,1841.667,2.45,NA,0.45,0.02,1821.667,NA,"LT_ND_Grahl_002",2003-08-18,"SRS1a","SRS1","SRS",0,0,0,NA,0
"SRS1a","2003-09-09","12:30",0,36.182,0.14,1288.333,2,3.07,0.15,0.03,1406.667,2.92,"LT_ND_Grahl_002",2003-09-09,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1a","2003-10-08","11:30",0,36.501,0.1,1126.667,1.7,3.94,0.22,0.02,1178.333,3.72,"LT_ND_Grahl_002",2003-10-08,"SRS1a","SRS1","SRS",0,0,0,0,0
"SRS1c","2005-01-04","15:00",0,55.385,0.08,1932.5,5.85,0.41,0.28,0.05,2096.667,0.13,"LT_ND_Grahl_002",2005-01-04,"SRS1c","SRS1","SRS",0,0,0,0,0
"SRS1c","2005-02-16","14:15",0,56.593,0.19,2014.167,5.37,0.91,0.61,0.01,2085,0.3,"LT_ND_Grahl_002",2005-02-16,"SRS1c","SRS1","SRS",0,0,0,0,0
"SRS1c","2005-05-23","14:30",0,44.717,NA,NA,2.35,0.21,0.1,0.08,2026.25,0.12,"LT_ND_Grahl_002",2005-05-23,"SRS1c","SRS1","SRS",0,1,NA,0,NA
"SRS1c","2005-06-30","11:30",0,39.177,0.23,1290,7.21,0.2,0.13,0.11,NA,0.07,"LT_ND_Grahl_002",2005-06-30,"SRS1c","SRS1","SRS",0,0,0,0,NA
"SRS1c","2005-07-18","14:15",0,34.937,0.25,1243.333,17.19,0,0,0.08,994.167,0,"LT_ND_Grahl_002",2005-07-18,"SRS1c","SRS1","SRS",0,0,0,0,0
"SRS1c","2005-08-23","11:00",0,45.268,0.13,NA,2.66,0.16,0.17,0.04,1220.833,0,"LT_ND_Grahl_002",2005-08-23,"SRS1c","SRS1","SRS",0,0,0,0,NA
"SRS1c","2005-09-23","12:15",0,62.311,NA,NA,20.3,0.15,0.14,0.08,1170.833,0,"LT_ND_Grahl_002",2005-09-23,"SRS1c","SRS1","SRS",0,1,NA,0,NA
"SRS1c","2005-10-18","11:30",0,20.439,0.3,NA,1.52,0.33,0.11,0.09,1100,0.22,"LT_ND_Grahl_002",2005-10-18,"SRS1c","SRS1","SRS",0,0,0,0,NA
"SRS1c","2005-11-10","08:50",0,25.811,0.16,NA,5.39,0.46,0.13,0.08,1583.333,0.33,"LT_ND_Grahl_002",2005-11-10,"SRS1c","SRS1","SRS",0,0,0,0,NA
"SRS1c","2005-12-19","13:30",0,22.72,1.45,NA,6.85,0.53,0.13,0.04,1478.333,0.41,"LT_ND_Grahl_002",2005-12-19,"SRS1c","SRS1","SRS",0,0,0,0,NA
"SRS1c","2006-01-05","07:45",0,35.237,0.25,NA,26.73,4.49,0.3,0,1413.333,4.19,"LT_ND_Grahl_002",2006-01-05,"SRS1c","SRS1","SRS",1,0,0,0,NA
"SRS1d","2006-01-05","13:15",0,32.406,0.19,NA,11.33,0.75,0.12,0.03,1648.333,0.63,"LT_ND_Grahl_002",2006-01-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-02-09","11:10",0,27.422,0.73,NA,9.5,3.51,0.14,0.03,1759.167,3.37,"LT_ND_Grahl_002",2006-02-09,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-06-02","9:15",0,223.29,1.31,NA,100.83,14.81,0.84,0.03,2883.75,13.97,"LT_ND_Grahl_002",2014-06-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-07-16","13:20",0,77.267,0.6,NA,2.33,0.13,0.11,0.17,2047.083,0.02,"LT_ND_Grahl_002",2014-07-16,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-08-15","12:40",0,74.354,0.31,NA,2.58,0.16,0.11,0.04,1492.917,0.05,"LT_ND_Grahl_002",2014-08-15,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-09-15","1:30",0,48.189,0.27,NA,1.17,0.43,0.11,0.05,1261.667,0.32,"LT_ND_Grahl_002",2014-09-15,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-10-15","8:15",0,61.413,0.2,NA,3.47,0.13,0.08,0.03,1504.167,0.05,"LT_ND_Grahl_002",2014-10-15,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-11-10","13:00",0,65.327,0.13,NA,1.87,0.21,0.09,0.02,1568.333,0.12,"LT_ND_Grahl_002",2014-11-10,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2014-12-04","14:00",0,73.889,0.17,NA,3.22,0.21,0.07,0.08,1698.333,0.14,"LT_ND_Grahl_002",2014-12-04,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-01-13","14:00",0,62.488,0.22,NA,8.96,3.31,0.14,0.01,1896.667,3.17,"LT_ND_Grahl_002",2015-01-13,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-02-02","11:50",0,69.789,0.38,NA,9.66,5.91,0.13,0.05,1959.167,5.77,"LT_ND_Grahl_002",2015-02-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-03-02","12:45",0,96.712,0.56,NA,8.15,0.15,0.11,0.04,2345.25,0.04,"LT_ND_Grahl_002",2015-03-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-09-17","12:00",0,127.231,0.35,NA,2.57,0.98,0.15,0.04,2320.583,0.83,"LT_ND_Grahl_002",2015-09-17,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-10-05","8:20",0,88.028,0.27,NA,2.87,0.52,0.1,0.04,1788.75,0.43,"LT_ND_Grahl_002",2015-10-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-11-03","13:00",0,76.296,0.33,NA,2.22,0.27,0.1,0.05,1837.5,0.17,"LT_ND_Grahl_002",2015-11-03,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2015-12-03","12:00",0,72.467,0.18,NA,1.6,0.18,0.07,0.03,1739.167,0.12,"LT_ND_Grahl_002",2015-12-03,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-01-07","13:45",0,62.98,0.26,NA,0.89,0.99,0.08,0.04,1287.083,0.9,"LT_ND_Grahl_002",2016-01-07,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-02-02","12:15",0,48.411,0.25,NA,1.04,0.3,0.05,0.03,1141.25,0.25,"LT_ND_Grahl_002",2016-02-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-03-02","13:00",0,50.754,0.29,NA,1.34,0.38,0.04,0.03,1430.833,0.34,"LT_ND_Grahl_002",2016-03-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-04-05","11:50",0,65.55,0.25,NA,1.55,0.49,0.06,0,1697.5,0.43,"LT_ND_Grahl_002",2016-04-05,"SRS1d","SRS1","SRS",1,0,0,0,NA
"SRS1d","2016-05-10","13:10",0,60.177,0.29,NA,0.97,0.22,0.1,0.02,1410.833,0.12,"LT_ND_Grahl_002",2016-05-10,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-06-06","10:55",0,63.744,0.27,NA,1.72,0.33,0.13,0.04,1726.667,0.2,"LT_ND_Grahl_002",2016-06-06,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-07-19","11:20",0,81.207,0.51,NA,1.63,0.27,0.2,0.06,1710,0.07,"LT_ND_Grahl_002",2016-07-19,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-08-15","14:00",0,108.914,0.23,NA,1.03,0.15,0.1,0.04,1311.667,0.05,"LT_ND_Grahl_002",2016-08-15,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-09-14","13:00",0,45.469,0.18,NA,0.74,0.18,0.03,0.04,1028.333,0.15,"LT_ND_Grahl_002",2016-09-14,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-10-20","8:30",0,44.557,0.28,NA,3.97,0.39,0.11,0.04,1064.167,0.28,"LT_ND_Grahl_002",2016-10-20,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-11-02","12:50",0,47.215,0.16,NA,1.01,0.2,0.04,0.03,1093.333,0.15,"LT_ND_Grahl_002",2016-11-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2016-12-01","12:30",0,65.157,0.26,NA,2.62,0.22,0.04,0.02,1350,0.18,"LT_ND_Grahl_002",2016-12-01,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2017-01-05","13:45",0,77.943,0.62,NA,9.06,0.22,0.21,0.24,1575,0.01,"LT_ND_Grahl_002",2017-01-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2017-02-01","13:30",0,94.711,0.24,NA,22.43,0.51,0.19,0.03,1647.5,0.32,"LT_ND_Grahl_002",2017-02-01,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-03-02","12:20",0,45.661,0.44,NA,NA,0.75,0.12,0.06,1732.5,0.62,"LT_ND_Grahl_002",2006-03-02,"SRS1d","SRS1","SRS",0,0,0,NA,NA
"SRS1d","2006-04-06","15:30",0,35.701,0.44,NA,6.81,0.86,0.07,0.03,2005,0.79,"LT_ND_Grahl_002",2006-04-06,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-05-16","09:30",0,109.917,1.53,NA,8.99,1.59,0.24,0.04,2793.333,1.35,"LT_ND_Grahl_002",2006-05-16,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-06-15","11:45",0,40.855,0.43,NA,2.92,0.35,0.08,0.05,2363.333,0.27,"LT_ND_Grahl_002",2006-06-15,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-07-25","",0,25.347,0.23,NA,4.03,0.45,0.13,0.09,799.667,0.32,"LT_ND_Grahl_002",2006-07-25,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-09-01","13:31",0,20.507,0.16,NA,0.82,0.14,0.07,0.05,778.25,0.08,"LT_ND_Grahl_002",2006-09-01,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-09-21","13:30",0,26.257,0.53,NA,1.42,0.07,0.04,0.05,955.833,0.03,"LT_ND_Grahl_002",2006-09-21,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-10-09","13:30",0,37.189,0.15,NA,2.38,0.3,0.09,0.03,1334.167,0.21,"LT_ND_Grahl_002",2006-10-09,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-11-13","13:00",0,44.879,0.25,NA,4.65,0.62,0.06,0.04,2036.667,0.56,"LT_ND_Grahl_002",2006-11-13,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2006-12-07","13:45",0,54.697,0.32,NA,4.11,1.71,0.12,0,2082.083,1.59,"LT_ND_Grahl_002",2006-12-07,"SRS1d","SRS1","SRS",1,0,0,0,NA
"SRS1d","2007-01-18","13:15",0,63.609,0.38,NA,26.79,1.13,0.1,0.01,2137.5,1.02,"LT_ND_Grahl_002",2007-01-18,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-02-01","13:30",0,45.542,0.15,NA,11.39,0.58,0.09,0.06,1900,0.48,"LT_ND_Grahl_002",2007-02-01,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-03-19","14:45",0,87.012,0.26,NA,NA,0.8,0.08,0.06,2415,0.71,"LT_ND_Grahl_002",2007-03-19,"SRS1d","SRS1","SRS",0,0,0,NA,NA
"SRS1d","2007-04-27","11:00",0,70.495,1.88,NA,3.91,0.16,0.16,0.02,2501.667,0,"LT_ND_Grahl_002",2007-04-27,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-05-24","12:30",0,74.191,0.24,NA,5.66,0.2,0.2,0.01,2468,0,"LT_ND_Grahl_002",2007-05-24,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-06-20","13:30",0,33.219,0.97,NA,2.65,0.44,0.19,0.02,1175.667,0.25,"LT_ND_Grahl_002",2007-06-20,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-07-26","13:30",0,50.447,0.18,NA,3.12,4.82,0.14,0.06,789.333,4.69,"LT_ND_Grahl_002",2007-07-26,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-08-08","08:50",0,61.373,0.21,NA,16.87,0.19,0.09,0.03,1046.667,0.09,"LT_ND_Grahl_002",2007-08-08,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-09-05","13:15",0,42.725,0.16,NA,5.39,0.59,0.2,0.05,1316.25,0.39,"LT_ND_Grahl_002",2007-09-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-10-08","15:45",0,32.861,0.3,NA,1.91,0.41,0.06,0.13,496,0.36,"LT_ND_Grahl_002",2007-10-08,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-11-19","13:45",0,70.352,0.26,NA,1.13,0.21,0.08,0.02,1670,0.13,"LT_ND_Grahl_002",2007-11-19,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2007-12-05","10:20",0,61.827,0.22,NA,16.02,1.55,0.15,0.12,1629.167,1.4,"LT_ND_Grahl_002",2007-12-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-01-10","12:40",0,82.984,0.25,NA,56.76,0.5,0.16,0.07,2023.333,0.34,"LT_ND_Grahl_002",2008-01-10,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-02-28","11:30",0,222.129,0.11,NA,95.97,0.48,0.09,0.06,3070,0.39,"LT_ND_Grahl_002",2008-02-28,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-03-31","12:00",0,190.01,0.2,NA,65.33,0.86,0.19,0.08,2888.167,0.67,"LT_ND_Grahl_002",2008-03-31,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-04-10","12:00",0,84.855,0.13,NA,14.77,5.77,0.3,0.08,1513.333,5.47,"LT_ND_Grahl_002",2008-04-10,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-05-20","12:20",0,122.567,0.17,NA,37.8,0.71,0.24,0.04,2423.75,0.47,"LT_ND_Grahl_002",2008-05-20,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-06-24","13:45",0,28.383,0.32,NA,1.73,0.17,0.08,0.18,932.5,0.09,"LT_ND_Grahl_002",2008-06-24,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-07-09","13:35",0,31.382,0.24,NA,2.82,0.1,0.09,0.03,1155,0,"LT_ND_Grahl_002",2008-07-09,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-08-06","11:20",0,34.552,0.42,NA,2.16,0.24,0.12,0.02,1640.833,0.12,"LT_ND_Grahl_002",2008-08-06,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-09-15","13:10",0,28.674,0.58,NA,1.94,0.25,0.12,0.07,1160.833,0.14,"LT_ND_Grahl_002",2008-09-15,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-10-06","07:40",0,17.87,0.15,NA,1.15,0.14,0.09,0.04,942.5,0.05,"LT_ND_Grahl_002",2008-10-06,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-11-03","11:45",0,22.027,0.07,NA,1.34,0.25,0.06,0.06,999.167,0.19,"LT_ND_Grahl_002",2008-11-03,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2008-12-02","10:45",0,132.074,0.13,NA,2.72,0.1,0.06,0.07,1595.833,0.04,"LT_ND_Grahl_002",2008-12-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-01-05","13:50",0,40.676,0.15,NA,4.03,0.33,0.08,0.07,1852.5,0.25,"LT_ND_Grahl_002",2009-01-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-02-02","11:30",0,155.244,0.33,NA,47.65,0.56,0.1,0.04,1989.167,0.46,"LT_ND_Grahl_002",2009-02-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-03-02","13:30",0,133.823,0.3,NA,10.49,0.25,0.13,0.06,2175.333,0.12,"LT_ND_Grahl_002",2009-03-02,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-04-01","10:00",0,155.002,0.47,NA,25.55,0.2,NA,0.02,3280.833,NA,"LT_ND_Grahl_002",2009-04-01,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-06-29","12:11",0,121.831,0.18,NA,2.49,1.04,0.52,0.08,1815.833,0.52,"LT_ND_Grahl_002",2009-06-29,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-07-16","13:30",0,84.767,0.14,NA,1.99,0.15,0.11,0.06,1516.667,0.04,"LT_ND_Grahl_002",2009-07-16,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-08-10","13:00",0,52.193,0.3,NA,1.4,0.41,0.12,0.1,1805,0.29,"LT_ND_Grahl_002",2009-08-10,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-09-09","13:30",0,42.024,0.29,NA,1.08,0.06,NA,0.05,1651.667,NA,"LT_ND_Grahl_002",2009-09-09,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-10-05","08:00",0,19.999,0.04,NA,3.49,0.22,0.08,0.03,953.333,0.14,"LT_ND_Grahl_002",2009-10-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-11-09","13:45",0,63.463,0.24,NA,1.87,0.16,0.09,0.08,1657.5,0.07,"LT_ND_Grahl_002",2009-11-09,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2009-12-07","11:30",0,90.367,0.09,NA,2.14,0.18,0.05,0.02,1490.833,0.13,"LT_ND_Grahl_002",2009-12-07,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2010-01-14","13:05",0,146.873,0.15,NA,6.67,1.95,0.1,0.03,1245,1.85,"LT_ND_Grahl_002",2010-01-14,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2010-02-01","11:30",0,59.512,0.43,NA,2.73,0.25,0.06,0.02,1209.167,0.19,"LT_ND_Grahl_002",2010-02-01,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2010-03-10","13:50",0,124.19,0.15,NA,0.84,0.08,0.05,0.06,1921.667,0.03,"LT_ND_Grahl_002",2010-03-10,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2010-04-07","12:40",0,144.197,0.13,NA,0.97,0.1,0.06,0.03,1997.5,0.05,"LT_ND_Grahl_002",2010-04-07,"SRS1d","SRS1","SRS",0,0,0,0,NA
"SRS1d","2010-05-05","11:30",0,73.705,0.27,NA,1.15,0.13,0.11,0.05,1901.667,0.02,"LT_ND_Grahl_002",2010-05-05,"SRS1d","SRS1","SRS",0,0,0,0,NA
